review_id=R000001 | customer_id=C008526 | product_id=P01279 | product=toy set | date=2024-09-07 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000002 | customer_id=C006430 | product_id=P01009 | product=watch | date=2022-04-19 | rating=4/5 | sentiment=Positive | review=Exactly what I needed. Amazing quality for the price.
review_id=R000003 | customer_id=C004404 | product_id=P01185 | product=laptop | date=2023-09-14 | rating=3/5 | sentiment=Neutral | review=Mixed feelings. Product is fine but instructions unclear.
review_id=R000004 | customer_id=C002405 | product_id=P00169 | product=trainers | date=2022-04-13 | rating=3/5 | sentiment=Neutral | review=Works as advertised. Not blown away but satisfied.
review_id=R000005 | customer_id=C008409 | product_id=P01359 | product=skincare kit | date=2024-04-07 | rating=4/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000006 | customer_id=C005945 | product_id=P01442 | product=blender | date=2022-11-11 | rating=3/5 | sentiment=Neutral | review=Product is okay. Nothing special but does the job.
review_id=R000007 | customer_id=C007174 | product_id=P00469 | product=blender | date=2023-01-18 | rating=2/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000008 | customer_id=C002377 | product_id=P01703 | product=jacket | date=2024-10-28 | rating=2/5 | sentiment=Negative | review=Very disappointed. Item was missing components.
review_id=R000009 | customer_id=C009637 | product_id=P00728 | product=trainers | date=2022-07-18 | rating=1/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000010 | customer_id=C004102 | product_id=P01823 | product=trainers | date=2022-10-04 | rating=1/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000011 | customer_id=C000953 | product_id=P00961 | product=headphones | date=2022-01-06 | rating=1/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000012 | customer_id=C003454 | product_id=P01376 | product=trainers | date=2022-09-28 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000013 | customer_id=C006102 | product_id=P01094 | product=jacket | date=2023-12-20 | rating=4/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000014 | customer_id=C001684 | product_id=P01523 | product=blender | date=2022-04-20 | rating=4/5 | sentiment=Positive | review=Arrived ahead of schedule and in perfect condition.
review_id=R000015 | customer_id=C009173 | product_id=P00977 | product=coffee maker | date=2022-07-07 | rating=4/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000016 | customer_id=C005960 | product_id=P01271 | product=watch | date=2023-07-23 | rating=2/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000017 | customer_id=C000609 | product_id=P00015 | product=coffee maker | date=2024-12-01 | rating=1/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000018 | customer_id=C006938 | product_id=P00533 | product=blender | date=2023-12-16 | rating=2/5 | sentiment=Negative | review=Quality does not match the product images at all.
review_id=R000019 | customer_id=C005664 | product_id=P00941 | product=blender | date=2022-02-16 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000020 | customer_id=C005583 | product_id=P00945 | product=blender | date=2024-06-26 | rating=3/5 | sentiment=Neutral | review=Mixed feelings. Product is fine but instructions unclear.
review_id=R000021 | customer_id=C005157 | product_id=P01777 | product=headphones | date=2022-04-29 | rating=2/5 | sentiment=Negative | review=Terrible experience. Took 3 weeks and arrived damaged.
review_id=R000022 | customer_id=C005849 | product_id=P01691 | product=watch | date=2023-12-07 | rating=3/5 | sentiment=Neutral | review=Mixed feelings. Product is fine but instructions unclear.
review_id=R000023 | customer_id=C003102 | product_id=P01015 | product=watch | date=2022-02-03 | rating=1/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000024 | customer_id=C009475 | product_id=P01365 | product=watch | date=2022-02-15 | rating=4/5 | sentiment=Positive | review=Packaging was perfect and the item works flawlessly.
review_id=R000025 | customer_id=C004112 | product_id=P01408 | product=novel | date=2022-10-11 | rating=4/5 | sentiment=Positive | review=Outstanding customer service. Highly recommend.
review_id=R000026 | customer_id=C002108 | product_id=P01870 | product=watch | date=2024-03-11 | rating=3/5 | sentiment=Neutral | review=It arrived on time. Product is functional if basic.
review_id=R000027 | customer_id=C003681 | product_id=P00719 | product=trainers | date=2022-02-10 | rating=3/5 | sentiment=Neutral | review=Average quality. Delivery took longer than expected.
review_id=R000028 | customer_id=C009156 | product_id=P01379 | product=headphones | date=2022-07-26 | rating=1/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
